week,highChange (above 6% change),aboveAvgVol
2017-01-02/2017-01-08,0,0
2017-01-09/2017-01-15,0,1
2017-01-16/2017-01-22,0,0
2017-01-23/2017-01-29,0,0
2017-01-30/2017-02-05,0,1
2017-02-06/2017-02-12,0,0
2017-02-13/2017-02-19,0,1
2017-02-20/2017-02-26,0,0
2017-02-27/2017-03-05,0,0
2017-03-06/2017-03-12,0,1
2017-03-13/2017-03-19,1,1
2017-03-20/2017-03-26,0,1
2017-03-27/2017-04-02,0,0
2017-04-03/2017-04-09,0,0
2017-04-10/2017-04-16,0,0
2017-04-17/2017-04-23,0,1
2017-04-24/2017-04-30,0,1
2017-05-01/2017-05-07,0,0
2017-05-08/2017-05-14,0,0
2017-05-15/2017-05-21,0,1
2017-05-22/2017-05-28,1,0
2017-05-29/2017-06-04,0,1
2017-06-05/2017-06-11,0,1
2017-06-12/2017-06-18,0,1
2017-06-19/2017-06-25,0,1
2017-06-26/2017-07-02,0,1
2017-07-03/2017-07-09,0,1
2017-07-10/2017-07-16,0,0
2017-07-17/2017-07-23,0,0
2017-07-24/2017-07-30,0,1
2017-07-31/2017-08-06,0,0
2017-08-07/2017-08-13,0,0
2017-08-14/2017-08-20,0,0
2017-08-21/2017-08-27,0,0
2017-08-28/2017-09-03,0,0
2017-09-04/2017-09-10,0,0
2017-09-11/2017-09-17,0,0
2017-09-18/2017-09-24,0,1
2017-09-25/2017-10-01,0,1
2017-10-02/2017-10-08,0,0
2017-10-09/2017-10-15,0,0
2017-10-16/2017-10-22,0,0
2017-10-23/2017-10-29,0,1
2017-10-30/2017-11-05,1,1
2017-11-06/2017-11-12,0,0
2017-11-13/2017-11-19,0,0
2017-11-20/2017-11-26,0,0
2017-11-27/2017-12-03,0,1
2017-12-04/2017-12-10,0,1
2017-12-11/2017-12-17,0,0
2017-12-18/2017-12-24,0,0
2017-12-25/2017-12-31,0,0
2018-01-01/2018-01-07,0,0
2018-01-08/2018-01-14,0,0
2018-01-15/2018-01-21,1,1
2018-01-22/2018-01-28,0,1
2018-01-29/2018-02-04,0,1
2018-02-05/2018-02-11,0,1
2018-02-12/2018-02-18,0,0
2018-02-19/2018-02-25,0,0
2018-02-26/2018-03-04,0,0
2018-03-05/2018-03-11,0,0
2018-03-12/2018-03-18,0,0
2018-03-19/2018-03-25,0,0
2018-03-26/2018-04-01,0,0
2018-04-02/2018-04-08,1,1
2018-04-09/2018-04-15,0,0
2018-04-16/2018-04-22,0,1
2018-04-23/2018-04-29,0,1
2018-04-30/2018-05-06,0,0
2018-05-07/2018-05-13,0,1
2018-05-14/2018-05-20,0,0
2018-05-21/2018-05-27,0,1
2018-05-28/2018-06-03,0,0
2018-06-04/2018-06-10,0,1
2018-06-11/2018-06-17,1,1
2018-06-18/2018-06-24,0,1
2018-06-25/2018-07-01,0,0
2018-07-02/2018-07-08,0,0
2018-07-09/2018-07-15,0,0
2018-07-16/2018-07-22,0,1
2018-07-23/2018-07-29,0,0
2018-07-30/2018-08-05,0,1
2018-08-06/2018-08-12,0,0
2018-08-13/2018-08-19,0,0
2018-08-20/2018-08-26,0,0
2018-08-27/2018-09-02,0,0
