week,twitterViewCountSum,twitterReplyCountSum,twitterRetweetCountSum,twitterLikeCountSum,twitterQuoteCountSum,twitterViewCountMean,twitterReplyCountMean,twitterRetweetCountMean,twitterLikeCountMean,twitterQuoteCountMean,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg,ttLikeCountSum,ttPlayCountSum,ttShareCountSum,ttCommentCountSum,ttLikeCountAvg,ttPlayCountAvg,ttShareCountAvg,ttCommentCountAvg,highChange (above 6% change),aboveAvgVol
2022-08-22/2022-08-28,19345.0,24,142,1299,8,1934.5,2.4,14.2,129.9,0.8,447161,2130,34397.0,163.84615384615384,5488,101000,45,123,2744.0,50500.0,22.5,61.5,0,0
2022-08-29/2022-09-04,26971.0,49,227,2265,17,1798.0666666666666,3.2666666666666666,15.133333333333333,151.0,1.1333333333333333,325985,964,25075.76923076923,74.15384615384616,9706,154800,101,74,4853.0,77400.0,50.5,37.0,0,0
2022-09-05/2022-09-11,42779.0,59,290,3057,17,2851.9333333333334,3.933333333333333,19.333333333333332,203.8,1.1333333333333333,734464,2881,52461.71428571428,205.78571428571428,887340,7400300,13300,5203,295780.0,2466766.6666666665,4433.333333333333,1734.3333333333333,1,0
2022-09-12/2022-09-18,101702.0,378,641,3331,253,5650.111111111111,21.0,35.611111111111114,185.05555555555554,14.055555555555555,388351,6806,35304.63636363636,618.7272727272727,14147,313800,379,333,3536.75,78450.0,94.75,83.25,0,0
2022-09-19/2022-09-25,45983.0,48,262,2401,13,3284.5,3.4285714285714284,18.714285714285715,171.5,0.9285714285714286,417953,2050,32150.23076923077,157.69230769230768,1334836,12397000,16724,6065,444945.3333333333,4132333.3333333335,5574.666666666667,2021.6666666666667,1,0
2022-09-26/2022-10-02,17079.0,52,189,2408,11,1313.7692307692307,4.0,14.538461538461538,185.23076923076923,0.8461538461538461,264076,1218,20313.53846153846,93.6923076923077,11468,214500,71,118,5734.0,107250.0,35.5,59.0,0,0
2022-10-03/2022-10-09,78243.0,42,226,2556,24,5588.785714285715,3.0,16.142857142857142,182.57142857142858,1.7142857142857142,383433,1680,31952.75,140.0,17878,326000,224,168,5959.333333333333,108666.66666666667,74.66666666666667,56.0,1,0
2022-10-10/2022-10-16,22548.0,40,162,1886,10,1879.0,3.3333333333333335,13.5,157.16666666666666,0.8333333333333334,379901,1502,31658.416666666668,125.16666666666667,13330,230300,131,140,6665.0,115150.0,65.5,70.0,1,0
2022-10-17/2022-10-23,17640.0,34,210,2067,15,1176.0,2.2666666666666666,14.0,137.8,1.0,320453,1370,26704.416666666668,114.16666666666667,5764,96300,144,62,5764.0,96300.0,144.0,62.0,0,0
2022-10-24/2022-10-30,21584.0,51,240,2570,27,1269.6470588235295,3.0,14.117647058823529,151.1764705882353,1.588235294117647,289169,1143,24097.416666666668,95.25,15130,268700,143,111,5043.333333333333,89566.66666666667,47.666666666666664,37.0,1,0
2022-10-31/2022-11-06,22427.0,53,235,1947,17,1245.9444444444443,2.9444444444444446,13.055555555555555,108.16666666666667,0.9444444444444444,383308,1587,27379.14285714286,113.35714285714286,219658,5610300,2291,579,109829.0,2805150.0,1145.5,289.5,1,0
2022-11-07/2022-11-13,27329.0,45,139,1560,12,1607.5882352941176,2.6470588235294117,8.176470588235293,91.76470588235294,0.7058823529411765,194593,2188,13899.5,156.28571428571428,5219,91100,131,36,5219.0,91100.0,131.0,36.0,0,0
2022-11-14/2022-11-20,19508.0,54,419,3039,40,928.952380952381,2.5714285714285716,19.952380952380953,144.71428571428572,1.9047619047619047,572838,3323,47736.5,276.9166666666667,484800,6770100,9515,3665,242400.0,3385050.0,4757.5,1832.5,0,0
2022-11-28/2022-12-04,27001.0,36,215,1901,14,1800.0666666666666,2.4,14.333333333333334,126.73333333333333,0.9333333333333333,319788,1460,26649.0,121.66666666666667,59841,1081400,761,318,29920.5,540700.0,380.5,159.0,1,0
2022-12-05/2022-12-11,27847.0,44,215,2158,14,1113.88,1.76,8.6,86.32,0.56,181465,670,13958.846153846154,51.53846153846154,45420,733500,353,275,15140.0,244500.0,117.66666666666667,91.66666666666667,0,0
