week,twitterViewCountSum,twitterReplyCountSum,twitterRetweetCountSum,twitterLikeCountSum,twitterQuoteCountSum,twitterViewCountMean,twitterReplyCountMean,twitterRetweetCountMean,twitterLikeCountMean,twitterQuoteCountMean,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg,highChange (above 6% change),aboveAvgVol
2020-03-02/2020-03-08,0.0,1462,5395,61221,530,0.0,731.0,2697.5,30610.5,265.0,269527,3261,269527.0,3261.0,0,1
2020-07-20/2020-07-26,0.0,1007,2419,28699,269,0.0,1007.0,2419.0,28699.0,269.0,204225,2200,204225.0,2200.0,1,1
2020-08-03/2020-08-09,2554418.0,1849,6530,69230,908,1277209.0,924.5,3265.0,34615.0,454.0,148302,2364,148302.0,2364.0,0,0
2020-11-02/2020-11-08,0.0,1738,3724,65189,831,0.0,1738.0,3724.0,65189.0,831.0,338053,2811,338053.0,2811.0,1,0
2021-01-11/2021-01-17,9177956.0,2925,14102,148780,1954,2294489.0,731.25,3525.5,37195.0,488.5,956450,6693,478225.0,3346.5,0,0
2021-01-18/2021-01-24,2000819.0,2144,6825,91149,936,666939.6666666666,714.6666666666666,2275.0,30383.0,312.0,384543,2807,384543.0,2807.0,0,0
2021-02-01/2021-02-07,3035044.0,7703,17134,264943,2320,758761.0,1925.75,4283.5,66235.75,580.0,359560,2675,179780.0,1337.5,0,0
2021-02-08/2021-02-14,0.0,18427,30835,467048,3070,0.0,9213.5,15417.5,233524.0,1535.0,274270,1174,274270.0,1174.0,0,0
2021-02-15/2021-02-21,1156543.0,10785,18933,265375,1874,289135.75,2696.25,4733.25,66343.75,468.5,365004,1937,182502.0,968.5,0,0
2021-03-01/2021-03-07,3834850.0,3301,11220,100629,1898,3834850.0,3301.0,11220.0,100629.0,1898.0,1126324,9951,563162.0,4975.5,1,1
2021-03-08/2021-03-14,4094764.0,2926,7739,95399,1154,2047382.0,1463.0,3869.5,47699.5,577.0,297809,2170,297809.0,2170.0,1,1
2021-03-15/2021-03-21,1463840.0,1520,4351,45782,571,1463840.0,1520.0,4351.0,45782.0,571.0,648950,4849,324475.0,2424.5,1,0
2021-03-29/2021-04-04,0.0,1342,2104,29181,251,0.0,1342.0,2104.0,29181.0,251.0,425360,3034,425360.0,3034.0,1,0
2021-04-05/2021-04-11,0.0,2706,3467,84621,631,0.0,2706.0,3467.0,84621.0,631.0,298922,2250,298922.0,2250.0,0,0
2021-04-12/2021-04-18,0.0,16295,29786,325512,3498,0.0,8147.5,14893.0,162756.0,1749.0,799234,6711,799234.0,6711.0,0,0
2021-05-03/2021-05-09,2011041.0,16526,28904,368317,10293,502760.25,4131.5,7226.0,92079.25,2573.25,601971,5203,601971.0,5203.0,0,0
2021-06-07/2021-06-13,2933995.0,34626,29797,348855,3813,325999.44444444444,3847.3333333333335,3310.777777777778,38761.666666666664,423.6666666666667,472649,3601,236324.5,1800.5,0,0
2021-06-14/2021-06-20,3152903.0,6695,12030,135217,1242,788225.75,1673.75,3007.5,33804.25,310.5,406232,2613,203116.0,1306.5,0,0
2021-06-21/2021-06-27,0.0,1370,2828,50242,225,0.0,1370.0,2828.0,50242.0,225.0,283190,2029,283190.0,2029.0,1,0
2021-06-28/2021-07-04,484368.0,2241,3442,29347,411,161456.0,747.0,1147.3333333333333,9782.333333333334,137.0,374679,3181,374679.0,3181.0,0,0
2021-08-16/2021-08-22,2660411.0,9601,9550,61486,3110,1330205.5,4800.5,4775.0,30743.0,1555.0,539167,19218,539167.0,19218.0,0,0
2021-09-13/2021-09-19,0.0,2031,1839,24847,237,0.0,2031.0,1839.0,24847.0,237.0,424434,2524,424434.0,2524.0,0,0
2021-09-20/2021-09-26,2049760.0,3577,3290,37669,279,2049760.0,3577.0,3290.0,37669.0,279.0,220236,1227,110118.0,613.5,1,0
2021-09-27/2021-10-03,0.0,7788,7066,71770,832,0.0,3894.0,3533.0,35885.0,416.0,418411,2663,418411.0,2663.0,0,0
2021-10-04/2021-10-10,3409515.0,16989,15379,169198,1469,852378.75,4247.25,3844.75,42299.5,367.25,92561,593,92561.0,593.0,0,0
2021-10-11/2021-10-17,0.0,2872,3062,34686,430,0.0,1436.0,1531.0,17343.0,215.0,572961,3384,190987.0,1128.0,1,0
2021-10-25/2021-10-31,3593552.0,6772,6997,89277,498,1796776.0,3386.0,3498.5,44638.5,249.0,172543,1419,172543.0,1419.0,1,1
2021-11-08/2021-11-14,0.0,4244,4072,46751,514,0.0,4244.0,4072.0,46751.0,514.0,270700,1220,270700.0,1220.0,1,0
2021-11-15/2021-11-21,0.0,941,1378,15078,93,0.0,941.0,1378.0,15078.0,93.0,206181,1537,206181.0,1537.0,1,0
2021-11-29/2021-12-05,0.0,14307,13562,167155,2738,0.0,2861.4,2712.4,33431.0,547.6,696794,5070,348397.0,2535.0,1,0
2021-12-06/2021-12-12,0.0,13156,10506,110639,1064,0.0,6578.0,5253.0,55319.5,532.0,232441,1515,116220.5,757.5,0,0
2021-12-13/2021-12-19,0.0,383,592,3357,72,0.0,383.0,592.0,3357.0,72.0,568300,3832,189433.33333333334,1277.3333333333333,0,0
2021-12-20/2021-12-26,2722226.0,17017,20589,274120,2270,247475.0909090909,1547.0,1871.7272727272727,24920.0,206.36363636363637,524435,4519,131108.75,1129.75,1,0
2022-01-03/2022-01-09,826005.0,1457,2181,20004,256,413002.5,728.5,1090.5,10002.0,128.0,511002,3023,170334.0,1007.6666666666666,1,0
2022-01-10/2022-01-16,0.0,44416,55216,375508,8530,0.0,14805.333333333334,18405.333333333332,125169.33333333333,2843.3333333333335,206508,1549,103254.0,774.5,0,0
2022-01-17/2022-01-23,0.0,7528,6581,71043,624,0.0,7528.0,6581.0,71043.0,624.0,110045,504,110045.0,504.0,1,0
2022-01-24/2022-01-30,0.0,1616,2667,22885,172,0.0,323.2,533.4,4577.0,34.4,615002,10005,205000.66666666666,3335.0,1,0
2022-01-31/2022-02-06,0.0,6967,6430,65133,575,0.0,2322.3333333333335,2143.3333333333335,21711.0,191.66666666666666,290410,1951,290410.0,1951.0,0,0
2022-02-14/2022-02-20,2758332.0,9770,11732,111358,2009,919444.0,3256.6666666666665,3910.6666666666665,37119.333333333336,669.6666666666666,388713,4857,388713.0,4857.0,0,0
2022-02-21/2022-02-27,0.0,1219,1078,9537,94,0.0,1219.0,1078.0,9537.0,94.0,145888,1409,145888.0,1409.0,0,0
2022-03-07/2022-03-13,0.0,1293,1151,17737,76,0.0,1293.0,1151.0,17737.0,76.0,152293,863,76146.5,431.5,0,0
2022-03-21/2022-03-27,1356167.0,11335,15235,191614,1317,452055.6666666667,3778.3333333333335,5078.333333333333,63871.333333333336,439.0,270875,2086,135437.5,1043.0,1,0
2022-03-28/2022-04-03,0.0,14866,18747,219290,2983,0.0,3716.5,4686.75,54822.5,745.75,55573,593,55573.0,593.0,0,0
2022-04-04/2022-04-10,4262541.0,33608,43328,603928,2996,426254.1,3360.8,4332.8,60392.8,299.6,242821,2155,121410.5,1077.5,1,0
2022-04-11/2022-04-17,0.0,1211,1429,13050,108,0.0,1211.0,1429.0,13050.0,108.0,97680,658,97680.0,658.0,0,0
2022-04-18/2022-04-24,0.0,916,903,6370,66,0.0,916.0,903.0,6370.0,66.0,83939,854,83939.0,854.0,0,0
2022-05-02/2022-05-08,198445.0,9980,18186,201977,1418,15265.0,767.6923076923077,1398.923076923077,15536.692307692309,109.07692307692308,467911,3848,233955.5,1924.0,0,0
2022-05-23/2022-05-29,0.0,3840,4712,63395,475,0.0,1920.0,2356.0,31697.5,237.5,65993,118,65993.0,118.0,1,0
2022-05-30/2022-06-05,2192555.0,12009,11208,119519,1333,548138.75,3002.25,2802.0,29879.75,333.25,168735,1192,168735.0,1192.0,1,0
2022-06-06/2022-06-12,0.0,3938,4589,67074,399,0.0,3938.0,4589.0,67074.0,399.0,72461,562,72461.0,562.0,0,0
2022-06-13/2022-06-19,557117.0,2333,4210,39172,555,139279.25,583.25,1052.5,9793.0,138.75,308454,1748,308454.0,1748.0,0,0
