week,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg
2017-10-16/2017-10-22,280126,1124,70031.5,281.0
2017-10-23/2017-10-29,633934,4319,70437.11111111111,479.8888888888889
2017-10-30/2017-11-05,243282,1189,60820.5,297.25
2017-11-06/2017-11-12,104721,516,52360.5,258.0
2017-11-13/2017-11-19,142896,995,71448.0,497.5
2017-11-20/2017-11-26,171811,2393,85905.5,1196.5
2017-11-27/2017-12-03,63445,377,63445.0,377.0
2017-12-04/2017-12-10,228219,2741,76073.0,913.6666666666666
2017-12-11/2017-12-17,33193,289,33193.0,289.0
2017-12-18/2017-12-24,77668,665,77668.0,665.0
2017-12-25/2017-12-31,290879,2330,96959.66666666667,776.6666666666666
2018-01-01/2018-01-07,62043,489,62043.0,489.0
2018-01-08/2018-01-14,94476,1095,94476.0,1095.0
2018-01-15/2018-01-21,52993,481,52993.0,481.0
2018-01-22/2018-01-28,158118,939,79059.0,469.5
2018-01-29/2018-02-04,164252,953,82126.0,476.5
2018-02-05/2018-02-11,166340,1528,83170.0,764.0
2018-02-12/2018-02-18,189750,1752,63250.0,584.0
2018-02-19/2018-02-25,70291,833,70291.0,833.0
2018-02-26/2018-03-04,274592,2526,91530.66666666667,842.0
2018-03-05/2018-03-11,206729,1669,68909.66666666667,556.3333333333334
2018-03-12/2018-03-18,263979,1814,87993.0,604.6666666666666
2018-03-19/2018-03-25,236591,1837,78863.66666666667,612.3333333333334
2018-03-26/2018-04-01,181400,1436,90700.0,718.0
2018-04-02/2018-04-08,104665,919,104665.0,919.0
2018-04-09/2018-04-15,61266,657,61266.0,657.0
2018-04-16/2018-04-22,211057,1656,70352.33333333333,552.0
2018-04-23/2018-04-29,151550,14645,75775.0,7322.5
2018-04-30/2018-05-06,100551,1174,50275.5,587.0
2018-05-07/2018-05-13,67689,494,67689.0,494.0
2018-05-14/2018-05-20,168916,1273,84458.0,636.5
2018-05-21/2018-05-27,43160,342,43160.0,342.0
2018-05-28/2018-06-03,128336,1241,64168.0,620.5
2018-06-04/2018-06-10,127283,1232,63641.5,616.0
2018-06-11/2018-06-17,269091,4100,134545.5,2050.0
2018-06-18/2018-06-24,150117,1280,50039.0,426.6666666666667
2018-06-25/2018-07-01,183192,2103,91596.0,1051.5
2018-07-02/2018-07-08,138280,919,46093.333333333336,306.3333333333333
2018-07-09/2018-07-15,284840,1867,71210.0,466.75
2018-07-16/2018-07-22,242994,2096,60748.5,524.0
2018-07-23/2018-07-29,193896,1816,48474.0,454.0
2018-07-30/2018-08-05,140492,1301,46830.666666666664,433.6666666666667
2018-08-06/2018-08-12,286901,2747,71725.25,686.75
