week,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg
2013-07-08/2013-07-14,3859,352,3859.0,352.0
2013-07-29/2013-08-04,4798,157,2399.0,78.5
2013-08-05/2013-08-11,3128,131,3128.0,131.0
2013-08-12/2013-08-18,2448,59,2448.0,59.0
2013-09-02/2013-09-08,5469,83,2734.5,41.5
2013-10-28/2013-11-03,6828,131,3414.0,65.5
2013-11-25/2013-12-01,2118,88,2118.0,88.0
2013-12-09/2013-12-15,8535,355,2845.0,118.33333333333333
2013-12-16/2013-12-22,14390,366,2878.0,73.2
2014-01-13/2014-01-19,5905,237,2952.5,118.5
2014-01-20/2014-01-26,7723,112,2574.3333333333335,37.333333333333336
2014-01-27/2014-02-02,28845,406,2622.2727272727275,36.90909090909091
2014-02-03/2014-02-09,4829,305,2414.5,152.5
2014-02-10/2014-02-16,5138,41,2569.0,20.5
2014-02-17/2014-02-23,3087,38,3087.0,38.0
2014-02-24/2014-03-02,10224,211,3408.0,70.33333333333333
2014-03-03/2014-03-09,6766,647,3383.0,323.5
2014-03-10/2014-03-16,11038,331,3679.3333333333335,110.33333333333333
2014-03-17/2014-03-23,11484,181,3828.0,60.333333333333336
2014-03-24/2014-03-30,12045,318,4015.0,106.0
2014-03-31/2014-04-06,17834,359,4458.5,89.75
2014-04-07/2014-04-13,2349,22,2349.0,22.0
2014-04-14/2014-04-20,9081,135,3027.0,45.0
2014-04-21/2014-04-27,20540,358,4108.0,71.6
2014-04-28/2014-05-04,19487,361,3897.4,72.2
2014-05-05/2014-05-11,8415,93,4207.5,46.5
2014-05-12/2014-05-18,13122,136,4374.0,45.333333333333336
2014-05-19/2014-05-25,25282,572,4213.666666666667,95.33333333333333
2014-05-26/2014-06-01,14455,389,4818.333333333333,129.66666666666666
2014-06-02/2014-06-08,9731,130,4865.5,65.0
2014-06-09/2014-06-15,13066,298,4355.333333333333,99.33333333333333
2014-06-16/2014-06-22,12368,817,4122.666666666667,272.3333333333333
2014-06-23/2014-06-29,10248,207,5124.0,103.5
2014-06-30/2014-07-06,3480,18,3480.0,18.0
2014-07-07/2014-07-13,29897,510,4982.833333333333,85.0
2014-07-14/2014-07-20,25159,451,5031.8,90.2
2014-07-21/2014-07-27,9746,116,4873.0,58.0
2014-07-28/2014-08-03,21756,543,5439.0,135.75
2014-08-04/2014-08-10,18900,288,4725.0,72.0
