Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,4.950000,4.980000,4.870000,4.880000,4.880000,1457400
2018-04-30,4.910000,5.090000,4.850000,5.060000,5.060000,2674700
2018-05-01,5.020000,5.070000,4.810000,4.910000,4.910000,4113600
2018-05-02,4.900000,5.080000,4.870000,4.970000,4.970000,2497700
2018-05-03,4.980000,5.070000,4.840000,4.960000,4.960000,4988000
2018-05-04,4.930000,5.540000,4.890000,5.450000,5.450000,12720800
2018-05-07,5.470000,5.520000,5.250000,5.430000,5.430000,4870700
2018-05-08,5.440000,5.940000,5.400000,5.680000,5.680000,6973400
2018-05-09,5.680000,5.920000,5.680000,5.700000,5.700000,3957100
2018-05-10,5.720000,5.910000,5.530000,5.560000,5.560000,4621300
2018-05-11,5.540000,5.760000,5.460000,5.740000,5.740000,2784200
2018-05-14,5.750000,5.810000,5.600000,5.650000,5.650000,2657500
2018-05-15,5.620000,5.780000,5.560000,5.740000,5.740000,2656200
2018-05-16,5.740000,5.900000,5.650000,5.860000,5.860000,2079800
2018-05-17,5.850000,6.020000,5.790000,5.990000,5.990000,3459000
2018-05-18,6.000000,6.020000,5.390000,5.420000,5.420000,4978300
2018-05-21,5.510000,5.600000,5.421000,5.460000,5.460000,1804100
2018-05-22,5.480000,5.515000,5.310000,5.350000,5.350000,2380600
2018-05-23,5.360000,5.495000,5.310000,5.470000,5.470000,2044100
2018-05-24,5.450000,5.550000,5.410000,5.540000,5.540000,1580300
2018-05-25,5.520000,5.590000,5.455000,5.550000,5.550000,1675700
2018-05-29,5.520000,5.670000,5.500000,5.600000,5.600000,2312900
2018-05-30,5.610000,5.630000,5.490000,5.620000,5.620000,2046100
2018-05-31,5.620000,5.680000,5.530000,5.540000,5.540000,1679200
2018-06-01,5.570000,5.630000,5.420000,5.500000,5.500000,2469300
2018-06-04,5.600000,5.740000,5.472000,5.700000,5.700000,3004500
2018-06-05,5.720000,5.880000,5.720000,5.800000,5.800000,2433700
2018-06-06,5.780000,5.890000,5.605000,5.880000,5.880000,2876200
2018-06-07,5.880000,6.165000,5.840000,6.090000,6.090000,5057500
2018-06-08,6.030000,6.090000,5.740000,5.840000,5.840000,4803300
2018-06-11,5.830000,6.450000,5.830000,6.240000,6.240000,6041800
2018-06-12,6.310000,6.680000,6.250000,6.570000,6.570000,7043900
2018-06-13,6.550000,6.660000,6.250000,6.440000,6.440000,4288700
2018-06-14,6.450000,6.480000,6.060000,6.220000,6.220000,4088400
2018-06-15,6.160000,6.270000,5.950000,6.230000,6.230000,3426900
2018-06-18,6.180000,6.500000,6.170000,6.490000,6.490000,3210700
2018-06-19,6.410000,6.429000,6.084000,6.270000,6.270000,3899300
2018-06-20,6.270000,6.750000,6.270000,6.640000,6.640000,4817400
2018-06-21,6.610000,6.830000,6.471000,6.710000,6.710000,3719200
2018-06-22,6.760000,6.820000,6.580000,6.770000,6.770000,4129500
2018-06-25,6.600000,6.730000,6.300000,6.470000,6.470000,5236000
2018-06-26,6.480000,6.640000,6.400000,6.600000,6.600000,3522900
2018-06-27,6.620000,6.630000,6.280000,6.300000,6.300000,2440700
2018-06-28,6.300000,6.420000,6.160000,6.390000,6.390000,2284400
2018-06-29,6.420000,6.520000,6.350000,6.440000,6.440000,2573400
2018-07-02,6.400000,6.490000,6.305000,6.490000,6.490000,1968700
2018-07-03,6.520000,6.630000,6.490000,6.540000,6.540000,1407700
2018-07-05,6.530000,6.625000,6.493000,6.590000,6.590000,1784800
2018-07-06,6.630000,6.990000,6.610000,6.940000,6.940000,4173500
2018-07-09,6.960000,6.979000,6.630000,6.870000,6.870000,3317900
2018-07-10,6.890000,6.890000,6.680000,6.750000,6.750000,1534900
2018-07-11,6.700000,6.760000,6.220000,6.230000,6.230000,4835000
2018-07-12,6.300000,6.390000,6.160000,6.200000,6.200000,2952700
2018-07-13,6.240000,6.319000,6.120000,6.310000,6.310000,2373700
2018-07-16,6.300000,6.351000,6.200000,6.310000,6.310000,1671100
2018-07-17,6.270000,6.540000,6.250000,6.510000,6.510000,2175700
2018-07-18,6.470000,6.620000,6.402000,6.600000,6.600000,1987400
2018-07-19,6.650000,6.760000,6.590000,6.610000,6.610000,2129400
2018-07-20,6.560000,6.580000,6.230000,6.260000,6.260000,2609700
2018-07-23,6.260000,6.260000,6.080000,6.190000,6.190000,1680900
2018-07-24,6.220000,6.290000,6.060000,6.120000,6.120000,2499700
2018-07-25,6.130000,6.400000,6.110000,6.310000,6.310000,1989600
2018-07-26,6.260000,6.460000,6.250000,6.450000,6.450000,1640800
2018-07-27,6.400000,6.540000,5.950000,5.970000,5.970000,3070100
2018-07-30,5.960000,6.090000,5.620000,5.690000,5.690000,4095700
2018-07-31,5.710000,5.860000,5.620000,5.840000,5.840000,2894600
2018-08-01,5.860000,6.130000,5.820000,6.120000,6.120000,4000700
2018-08-02,6.090000,6.120000,5.720000,5.990000,5.990000,6887700
2018-08-03,6.180000,7.310000,6.160000,7.050000,7.050000,32189100
2018-08-06,6.920000,7.000000,6.560000,6.680000,6.680000,11149900
2018-08-07,6.680000,6.880000,6.480000,6.630000,6.630000,4679600
2018-08-08,6.640000,6.690000,6.440000,6.470000,6.470000,2378700
2018-08-09,6.530000,6.530000,6.130000,6.170000,6.170000,3830200
2018-08-10,6.130000,6.170000,5.950000,5.960000,5.960000,3811900
2018-08-13,5.960000,6.180000,5.920000,6.100000,6.100000,3583300
2018-08-14,6.120000,6.210000,5.961000,6.070000,6.070000,2813000
2018-08-15,5.960000,6.000000,5.780000,5.830000,5.830000,3473500
2018-08-16,5.860000,6.110000,5.810000,6.010000,6.010000,3060000
2018-08-17,6.000000,6.260000,5.870000,6.200000,6.200000,3082200
2018-08-20,6.230000,6.420000,6.200000,6.410000,6.410000,1943900
