week,twitterViewCountSum,twitterReplyCountSum,twitterRetweetCountSum,twitterLikeCountSum,twitterQuoteCountSum,twitterViewCountMean,twitterReplyCountMean,twitterRetweetCountMean,twitterLikeCountMean,twitterQuoteCountMean
2022-08-22/2022-08-28,19345.0,24,142,1299,8,1934.5,2.4,14.2,129.9,0.8
2022-08-29/2022-09-04,26971.0,49,227,2265,17,1798.0666666666666,3.2666666666666666,15.133333333333333,151.0,1.1333333333333333
2022-09-05/2022-09-11,42779.0,59,290,3057,17,2851.9333333333334,3.933333333333333,19.333333333333332,203.8,1.1333333333333333
2022-09-12/2022-09-18,101702.0,378,641,3331,253,5650.111111111111,21.0,35.611111111111114,185.05555555555554,14.055555555555555
2022-09-19/2022-09-25,45983.0,48,262,2401,13,3284.5,3.4285714285714284,18.714285714285715,171.5,0.9285714285714286
2022-09-26/2022-10-02,17079.0,52,189,2408,11,1313.7692307692307,4.0,14.538461538461538,185.23076923076923,0.8461538461538461
2022-10-03/2022-10-09,78243.0,42,226,2556,24,5588.785714285715,3.0,16.142857142857142,182.57142857142858,1.7142857142857142
2022-10-10/2022-10-16,22548.0,40,162,1886,10,1879.0,3.3333333333333335,13.5,157.16666666666666,0.8333333333333334
2022-10-17/2022-10-23,17640.0,34,210,2067,15,1176.0,2.2666666666666666,14.0,137.8,1.0
2022-10-24/2022-10-30,21584.0,51,240,2570,27,1269.6470588235295,3.0,14.117647058823529,151.1764705882353,1.588235294117647
2022-10-31/2022-11-06,22427.0,53,235,1947,17,1245.9444444444443,2.9444444444444446,13.055555555555555,108.16666666666667,0.9444444444444444
2022-11-07/2022-11-13,27329.0,45,139,1560,12,1607.5882352941176,2.6470588235294117,8.176470588235293,91.76470588235294,0.7058823529411765
2022-11-14/2022-11-20,19508.0,54,419,3039,40,928.952380952381,2.5714285714285716,19.952380952380953,144.71428571428572,1.9047619047619047
2022-11-21/2022-11-27,26227.0,30,166,1659,17,1873.357142857143,2.142857142857143,11.857142857142858,118.5,1.2142857142857142
2022-11-28/2022-12-04,27001.0,36,215,1901,14,1800.0666666666666,2.4,14.333333333333334,126.73333333333333,0.9333333333333333
2022-12-05/2022-12-11,27847.0,44,215,2158,14,1113.88,1.76,8.6,86.32,0.56
2022-12-12/2022-12-18,127611.0,49,199,1836,10,11601.0,4.454545454545454,18.09090909090909,166.9090909090909,0.9090909090909091
2022-12-19/2022-12-25,462216.0,61,267,2300,12,33015.42857142857,4.357142857142857,19.071428571428573,164.28571428571428,0.8571428571428571
2022-12-26/2023-01-01,769391.0,91,600,3554,127,64115.916666666664,7.583333333333333,50.0,296.1666666666667,10.583333333333334
2023-01-02/2023-01-08,750291.0,56,710,8218,28,68208.27272727272,5.090909090909091,64.54545454545455,747.0909090909091,2.5454545454545454
2023-01-09/2023-01-15,294097.0,28,151,1871,7,24508.083333333332,2.3333333333333335,12.583333333333334,155.91666666666666,0.5833333333333334
2023-01-16/2023-01-22,368330.0,41,150,1631,3,30694.166666666668,3.4166666666666665,12.5,135.91666666666666,0.25
2023-01-23/2023-01-29,325060.0,50,130,1566,8,25004.615384615383,3.8461538461538463,10.0,120.46153846153847,0.6153846153846154
2023-01-30/2023-02-05,410943.0,46,203,2413,9,24173.117647058825,2.7058823529411766,11.941176470588236,141.94117647058823,0.5294117647058824
2023-02-06/2023-02-12,429486.0,45,161,2003,7,39044.181818181816,4.090909090909091,14.636363636363637,182.0909090909091,0.6363636363636364
2023-02-13/2023-02-19,539014.0,38,222,2605,10,44917.833333333336,3.1666666666666665,18.5,217.08333333333334,0.8333333333333334
2023-02-20/2023-02-26,591177.0,35,307,3413,15,39411.8,2.3333333333333335,20.466666666666665,227.53333333333333,1.0
2023-02-27/2023-03-05,483541.0,54,281,3129,10,34538.642857142855,3.857142857142857,20.071428571428573,223.5,0.7142857142857143
2023-03-06/2023-03-12,386260.0,32,216,2710,9,38626.0,3.2,21.6,271.0,0.9
2023-03-13/2023-03-19,532947.0,49,341,3088,13,35529.8,3.2666666666666666,22.733333333333334,205.86666666666667,0.8666666666666667
2023-03-20/2023-03-26,569225.0,35,367,3150,11,43786.53846153846,2.6923076923076925,28.23076923076923,242.30769230769232,0.8461538461538461
2023-03-27/2023-04-02,484353.0,42,277,2838,10,40362.75,3.5,23.083333333333332,236.5,0.8333333333333334
2023-04-03/2023-04-09,536889.0,62,296,3036,11,38349.21428571428,4.428571428571429,21.142857142857142,216.85714285714286,0.7857142857142857
2023-04-10/2023-04-16,497251.0,80,277,2983,9,41437.583333333336,6.666666666666667,23.083333333333332,248.58333333333334,0.75
2023-04-17/2023-04-23,482300.0,83,336,3301,26,40191.666666666664,6.916666666666667,28.0,275.0833333333333,2.1666666666666665
2023-04-24/2023-04-30,189372.0,30,134,1191,8,37874.4,6.0,26.8,238.2,1.6
