week,twitterViewCountSum,twitterReplyCountSum,twitterRetweetCountSum,twitterLikeCountSum,twitterQuoteCountSum,twitterViewCountMean,twitterReplyCountMean,twitterRetweetCountMean,twitterLikeCountMean,twitterQuoteCountMean
2020-01-06/2020-01-12,535892.0,513,2180,18201,300,535892.0,513.0,2180.0,18201.0,300.0
2020-01-20/2020-01-26,0.0,650,2224,14958,312,0.0,650.0,2224.0,14958.0,312.0
2020-02-03/2020-02-09,0.0,935,3854,35299,750,0.0,935.0,3854.0,35299.0,750.0
2020-02-10/2020-02-16,1028954.0,737,3846,27253,417,1028954.0,737.0,3846.0,27253.0,417.0
2020-03-02/2020-03-08,0.0,1462,5395,61221,530,0.0,731.0,2697.5,30610.5,265.0
2020-03-09/2020-03-15,0.0,505,2139,26323,234,0.0,252.5,1069.5,13161.5,117.0
2020-03-16/2020-03-22,1666682.0,1190,5093,36861,784,1666682.0,1190.0,5093.0,36861.0,784.0
2020-03-30/2020-04-05,0.0,1449,7658,36655,1498,0.0,1449.0,7658.0,36655.0,1498.0
2020-04-06/2020-04-12,0.0,871,2978,30754,287,0.0,871.0,2978.0,30754.0,287.0
2020-05-04/2020-05-10,0.0,1860,3253,39980,580,0.0,1860.0,3253.0,39980.0,580.0
2020-06-08/2020-06-14,0.0,465,1561,14540,133,0.0,465.0,1561.0,14540.0,133.0
2020-06-15/2020-06-21,0.0,678,2156,19530,205,0.0,678.0,2156.0,19530.0,205.0
2020-06-29/2020-07-05,0.0,708,1562,15355,162,0.0,708.0,1562.0,15355.0,162.0
2020-07-20/2020-07-26,0.0,1007,2419,28699,269,0.0,1007.0,2419.0,28699.0,269.0
2020-07-27/2020-08-02,0.0,420,1144,12030,97,0.0,420.0,1144.0,12030.0,97.0
2020-08-03/2020-08-09,2554418.0,1849,6530,69230,908,1277209.0,924.5,3265.0,34615.0,454.0
2020-08-10/2020-08-16,0.0,78,327,1501,12,0.0,78.0,327.0,1501.0,12.0
2020-08-17/2020-08-23,0.0,1071,2273,23549,179,0.0,535.5,1136.5,11774.5,89.5
2020-09-21/2020-09-27,1835938.0,2045,9109,71566,1530,611979.3333333334,681.6666666666666,3036.3333333333335,23855.333333333332,510.0
2020-10-12/2020-10-18,0.0,1230,2239,23821,275,0.0,1230.0,2239.0,23821.0,275.0
2020-11-02/2020-11-08,0.0,1738,3724,65189,831,0.0,1738.0,3724.0,65189.0,831.0
2020-11-09/2020-11-15,0.0,1148,1013,9628,160,0.0,1148.0,1013.0,9628.0,160.0
2020-12-28/2021-01-03,0.0,2512,6801,67313,1460,0.0,1256.0,3400.5,33656.5,730.0
2021-01-04/2021-01-10,0.0,1255,2585,34168,562,0.0,627.5,1292.5,17084.0,281.0
2021-01-11/2021-01-17,9177956.0,2925,14102,148780,1954,2294489.0,731.25,3525.5,37195.0,488.5
2021-01-18/2021-01-24,2000819.0,2144,6825,91149,936,666939.6666666666,714.6666666666666,2275.0,30383.0,312.0
2021-01-25/2021-01-31,0.0,14447,34181,475416,7852,0.0,2889.4,6836.2,95083.2,1570.4
2021-02-01/2021-02-07,3035044.0,7703,17134,264943,2320,758761.0,1925.75,4283.5,66235.75,580.0
2021-02-08/2021-02-14,0.0,18427,30835,467048,3070,0.0,9213.5,15417.5,233524.0,1535.0
2021-02-15/2021-02-21,1156543.0,10785,18933,265375,1874,289135.75,2696.25,4733.25,66343.75,468.5
2021-02-22/2021-02-28,0.0,3415,5189,92320,411,0.0,1707.5,2594.5,46160.0,205.5
2021-03-01/2021-03-07,3834850.0,3301,11220,100629,1898,3834850.0,3301.0,11220.0,100629.0,1898.0
2021-03-08/2021-03-14,4094764.0,2926,7739,95399,1154,2047382.0,1463.0,3869.5,47699.5,577.0
2021-03-15/2021-03-21,1463840.0,1520,4351,45782,571,1463840.0,1520.0,4351.0,45782.0,571.0
2021-03-22/2021-03-28,0.0,3038,4435,52895,406,0.0,3038.0,4435.0,52895.0,406.0
2021-03-29/2021-04-04,0.0,1342,2104,29181,251,0.0,1342.0,2104.0,29181.0,251.0
2021-04-05/2021-04-11,0.0,2706,3467,84621,631,0.0,2706.0,3467.0,84621.0,631.0
2021-04-12/2021-04-18,0.0,16295,29786,325512,3498,0.0,8147.5,14893.0,162756.0,1749.0
2021-04-19/2021-04-25,0.0,9614,10394,160946,983,0.0,9614.0,10394.0,160946.0,983.0
2021-04-26/2021-05-02,0.0,1027,1287,14018,139,0.0,1027.0,1287.0,14018.0,139.0
2021-05-03/2021-05-09,2011041.0,16526,28904,368317,10293,502760.25,4131.5,7226.0,92079.25,2573.25
2021-05-10/2021-05-16,0.0,8413,5617,79594,404,0.0,4206.5,2808.5,39797.0,202.0
2021-05-24/2021-05-30,0.0,7459,8103,89960,761,0.0,2486.3333333333335,2701.0,29986.666666666668,253.66666666666666
2021-05-31/2021-06-06,0.0,12196,6853,136907,713,0.0,6098.0,3426.5,68453.5,356.5
2021-06-07/2021-06-13,2933995.0,34626,29797,348855,3813,325999.44444444444,3847.3333333333335,3310.777777777778,38761.666666666664,423.6666666666667
2021-06-14/2021-06-20,3152903.0,6695,12030,135217,1242,788225.75,1673.75,3007.5,33804.25,310.5
2021-06-21/2021-06-27,0.0,1370,2828,50242,225,0.0,1370.0,2828.0,50242.0,225.0
2021-06-28/2021-07-04,484368.0,2241,3442,29347,411,161456.0,747.0,1147.3333333333333,9782.333333333334,137.0
2021-07-05/2021-07-11,0.0,16757,14055,206439,1593,0.0,5585.666666666667,4685.0,68813.0,531.0
2021-07-12/2021-07-18,0.0,13123,6038,68201,522,0.0,4374.333333333333,2012.6666666666667,22733.666666666668,174.0
2021-07-26/2021-08-01,0.0,22988,16583,240166,1892,0.0,7662.666666666667,5527.666666666667,80055.33333333333,630.6666666666666
2021-08-09/2021-08-15,0.0,20005,12185,135226,1129,0.0,2000.5,1218.5,13522.6,112.9
2021-08-16/2021-08-22,2660411.0,9601,9550,61486,3110,1330205.5,4800.5,4775.0,30743.0,1555.0
2021-09-06/2021-09-12,0.0,7773,12391,139866,1688,0.0,3886.5,6195.5,69933.0,844.0
2021-09-13/2021-09-19,0.0,2031,1839,24847,237,0.0,2031.0,1839.0,24847.0,237.0
2021-09-20/2021-09-26,2049760.0,3577,3290,37669,279,2049760.0,3577.0,3290.0,37669.0,279.0
2021-09-27/2021-10-03,0.0,7788,7066,71770,832,0.0,3894.0,3533.0,35885.0,416.0
2021-10-04/2021-10-10,3409515.0,16989,15379,169198,1469,852378.75,4247.25,3844.75,42299.5,367.25
2021-10-11/2021-10-17,0.0,2872,3062,34686,430,0.0,1436.0,1531.0,17343.0,215.0
