week,ttLikeCountSum,ttPlayCountSum,ttShareCountSum,ttCommentCountSum,ttLikeCountAvg,ttPlayCountAvg,ttShareCountAvg,ttCommentCountAvg
2020-01-27/2020-02-02,16922,192200,711,290,8461.0,96100.0,355.5,145.0
2020-02-03/2020-02-09,15679,205900,522,137,7839.5,102950.0,261.0,68.5
2020-02-10/2020-02-16,6000000,26800000,149300,14700,6000000.0,26800000.0,149300.0,14700.0
2020-02-17/2020-02-23,8168,84900,186,69,8168.0,84900.0,186.0,69.0
2020-02-24/2020-03-01,14768,167300,163,97,7384.0,83650.0,81.5,48.5
2020-03-02/2020-03-08,19600,128800,177,68,19600.0,128800.0,177.0,68.0
2020-03-09/2020-03-15,31207,309200,580,187,10402.333333333334,103066.66666666667,193.33333333333334,62.333333333333336
2020-03-16/2020-03-22,5378,88200,20,36,5378.0,88200.0,20.0,36.0
2020-03-23/2020-03-29,8439,179100,99,67,4219.5,89550.0,49.5,33.5
2020-03-30/2020-04-05,8057,105900,194,69,8057.0,105900.0,194.0,69.0
2020-04-20/2020-04-26,4485,99500,37,22,4485.0,99500.0,37.0,22.0
2020-04-27/2020-05-03,18000,153400,272,111,18000.0,153400.0,272.0,111.0
2020-05-04/2020-05-10,6756,116900,68,31,6756.0,116900.0,68.0,31.0
2020-05-11/2020-05-17,10500,123200,114,46,10500.0,123200.0,114.0,46.0
2020-05-18/2020-05-24,15185,249400,149,95,7592.5,124700.0,74.5,47.5
2020-05-25/2020-05-31,9983,137800,185,65,9983.0,137800.0,185.0,65.0
2020-06-08/2020-06-14,14600,155500,965,88,14600.0,155500.0,965.0,88.0
2020-06-15/2020-06-21,22800,256700,895,338,22800.0,256700.0,895.0,338.0
2020-06-22/2020-06-28,12000,149600,121,68,12000.0,149600.0,121.0,68.0
2020-07-06/2020-07-12,131600,1067800,7106,1133,65800.0,533900.0,3553.0,566.5
2020-07-27/2020-08-02,18600,173000,886,120,18600.0,173000.0,886.0,120.0
2020-08-03/2020-08-09,48500,491100,900,208,48500.0,491100.0,900.0,208.0
2020-08-10/2020-08-16,11200,165000,301,121,11200.0,165000.0,301.0,121.0
2020-08-31/2020-09-06,17140,339900,307,87,8570.0,169950.0,153.5,43.5
2020-09-07/2020-09-13,27900,407400,1055,338,13950.0,203700.0,527.5,169.0
2020-09-14/2020-09-20,128400,6600000,1181,608,128400.0,6600000.0,1181.0,608.0
2020-09-21/2020-09-27,18300,239900,216,52,18300.0,239900.0,216.0,52.0
2020-10-05/2020-10-11,24200,285800,136,86,24200.0,285800.0,136.0,86.0
2020-10-19/2020-10-25,25232,481500,1013,317,12616.0,240750.0,506.5,158.5
2020-11-02/2020-11-08,20000,264000,306,100,20000.0,264000.0,306.0,100.0
2020-11-09/2020-11-15,23800,272200,301,109,23800.0,272200.0,301.0,109.0
2020-11-23/2020-11-29,58600,4000000,204,143,58600.0,4000000.0,204.0,143.0
2020-12-14/2020-12-20,93500,3328500,787,439,46750.0,1664250.0,393.5,219.5
2020-12-21/2020-12-27,18700,337300,266,103,18700.0,337300.0,266.0,103.0
2021-01-11/2021-01-17,79500,1480400,1283,402,39750.0,740200.0,641.5,201.0
2021-01-18/2021-01-24,123500,1680100,2415,503,41166.666666666664,560033.3333333334,805.0,167.66666666666666
2021-01-25/2021-01-31,70300,646800,1079,291,70300.0,646800.0,1079.0,291.0
2021-02-01/2021-02-07,74500,709500,2076,939,74500.0,709500.0,2076.0,939.0
2021-02-08/2021-02-14,1600000,8100000,12700,6723,1600000.0,8100000.0,12700.0,6723.0
2021-02-15/2021-02-21,11730500,91011600,283360,119679,5865250.0,45505800.0,141680.0,59839.5
2021-02-22/2021-02-28,42100,406800,407,173,42100.0,406800.0,407.0,173.0
2021-03-01/2021-03-07,31700,316900,650,239,31700.0,316900.0,650.0,239.0
2021-03-08/2021-03-14,27700,411000,316,168,13850.0,205500.0,158.0,84.0
2021-03-15/2021-03-21,216690,3364000,1654,631,54172.5,841000.0,413.5,157.75
2021-03-22/2021-03-28,10600,150900,143,69,10600.0,150900.0,143.0,69.0
2021-03-29/2021-04-04,111349,1044300,2918,1190,37116.333333333336,348100.0,972.6666666666666,396.6666666666667
2021-04-05/2021-04-11,137600,1389200,4042,783,45866.666666666664,463066.6666666667,1347.3333333333333,261.0
2021-04-19/2021-04-25,10400,142300,159,67,10400.0,142300.0,159.0,67.0
2021-05-03/2021-05-09,10400,135700,44,39,10400.0,135700.0,44.0,39.0
2021-05-10/2021-05-16,12200,129700,157,55,12200.0,129700.0,157.0,55.0
2021-05-17/2021-05-23,6786,94200,208,56,6786.0,94200.0,208.0,56.0
2021-05-24/2021-05-30,61544,537100,555,279,20514.666666666668,179033.33333333334,185.0,93.0
2021-05-31/2021-06-06,8835,103800,181,71,8835.0,103800.0,181.0,71.0
2021-06-14/2021-06-20,123900,1215800,6238,2376,61950.0,607900.0,3119.0,1188.0
2021-06-21/2021-06-27,89617,919900,554,308,44808.5,459950.0,277.0,154.0
2021-06-28/2021-07-04,12700,130100,187,84,12700.0,130100.0,187.0,84.0
2021-07-05/2021-07-11,10400,108000,125,63,10400.0,108000.0,125.0,63.0
2021-07-12/2021-07-18,4715,87700,46,48,4715.0,87700.0,46.0,48.0
2021-07-19/2021-07-25,33100,295100,687,355,33100.0,295100.0,687.0,355.0
2021-07-26/2021-08-01,6244,92000,108,74,6244.0,92000.0,108.0,74.0
2021-08-09/2021-08-15,28168,339600,265,194,9389.333333333334,113200.0,88.33333333333333,64.66666666666667
2021-08-23/2021-08-29,543400,6392700,1840,2147,271700.0,3196350.0,920.0,1073.5
2021-08-30/2021-09-05,7496,103500,79,30,7496.0,103500.0,79.0,30.0
2021-09-06/2021-09-12,7197,104200,51,31,7197.0,104200.0,51.0,31.0
2021-09-13/2021-09-19,28457,1900800,914,427,14228.5,950400.0,457.0,213.5
2021-09-27/2021-10-03,45192,915700,206,145,15064.0,305233.3333333333,68.66666666666667,48.333333333333336
2021-10-04/2021-10-10,9553,226900,36,50,4776.5,113450.0,18.0,25.0
2021-10-11/2021-10-17,311800,3052400,6731,2898,155900.0,1526200.0,3365.5,1449.0
2021-10-18/2021-10-24,16200,215200,134,74,16200.0,215200.0,134.0,74.0
2021-11-01/2021-11-07,4254,118800,30,25,4254.0,118800.0,30.0,25.0
2021-11-08/2021-11-14,19498,291300,235,75,9749.0,145650.0,117.5,37.5
