"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"32589","267","237","843","93","2022-09-14T13:01:00.000Z"
"26353","2","11","152","1","2023-04-27T17:10:28.000Z"
"48662","5","45","248","7","2023-04-26T13:02:00.000Z"
"33411","2","45","425","0","2023-04-25T17:30:12.000Z"
"37126","17","28","309","0","2023-04-24T21:37:05.000Z"
"43820","4","5","57","0","2023-04-24T16:21:37.000Z"
"38801","7","13","261","0","2023-04-23T19:46:05.000Z"
"81388","10","34","293","8","2023-04-23T16:30:44.000Z"
"45126","7","27","312","0","2023-04-22T20:30:08.000Z"
"31554","6","24","184","0","2023-04-22T17:45:24.000Z"
"49745","11","72","551","9","2023-04-22T12:31:27.000Z"
"45970","7","47","336","3","2023-04-21T20:15:10.000Z"
"28665","9","17","186","1","2023-04-20T20:30:13.000Z"
"33266","7","25","337","2","2023-04-20T15:48:48.000Z"
"31784","6","21","248","0","2023-04-19T19:00:24.000Z"
"24434","3","2","31","0","2023-04-18T22:09:00.000Z"
"32877","3","31","265","1","2023-04-18T16:50:10.000Z"
"38690","7","23","297","2","2023-04-17T17:10:12.000Z"
"43994","9","28","413","0","2023-04-16T19:00:13.000Z"
"41033","3","25","176","0","2023-04-16T14:51:44.000Z"
"35318","8","26","273","0","2023-04-15T13:00:22.000Z"
"36260","8","9","212","0","2023-04-14T19:00:26.000Z"
"31117","8","30","178","1","2023-04-14T13:01:31.000Z"
"30168","1","20","193","0","2023-04-13T19:37:06.000Z"
"48194","10","27","342","0","2023-04-12T19:30:10.000Z"
"50962","7","32","235","2","2023-04-12T16:01:48.000Z"
"23371","1","2","26","0","2023-04-11T22:59:00.000Z"
"37051","7","23","290","2","2023-04-11T16:06:08.000Z"
"44697","13","27","410","2","2023-04-10T19:33:06.000Z"
"75086","5","28","235","2","2023-04-10T16:11:06.000Z"
"43702","4","29","322","0","2023-04-09T19:01:05.000Z"
"43860","2","20","169","1","2023-04-09T13:01:38.000Z"
"44892","3","29","318","2","2023-04-08T19:00:13.000Z"
"36941","2","29","220","0","2023-04-08T15:10:37.000Z"
"47458","6","20","278","1","2023-04-07T20:30:12.000Z"
"41752","6","25","350","0","2023-04-06T19:30:11.000Z"
"33440","4","34","185","1","2023-04-06T16:44:57.000Z"
"45782","7","27","329","2","2023-04-05T19:30:13.000Z"
"30015","3","9","24","1","2023-04-04T22:10:00.000Z"
,"1","3","6","0","2023-04-04T15:58:52.000Z"
"34609","6","16","231","0","2023-04-04T21:00:18.000Z"
"53682","10","18","231","2","2023-04-04T14:17:26.000Z"
"33546","2","12","154","0","2023-04-03T20:04:06.000Z"
"47210","6","25","219","1","2023-04-03T16:41:27.000Z"
"43236","4","28","355","1","2023-04-02T19:00:14.000Z"
"92786","10","34","375","0","2023-04-02T13:00:56.000Z"
"43766","5","28","382","3","2023-04-01T13:00:28.000Z"
"29881","4","11","70","0","2023-03-31T21:10:22.000Z"
"40219","4","47","395","2","2023-03-31T13:00:31.000Z"
"27612","1","11","92","0","2023-03-30T18:21:58.000Z"
"45931","4","20","346","1","2023-03-29T19:00:29.000Z"
"29056","1","10","62","0","2023-03-29T13:01:13.000Z"
"27432","1","2","23","0","2023-03-29T02:37:50.000Z"
"33824","2","28","250","1","2023-03-28T19:33:06.000Z"
"31894","2","28","201","2","2023-03-28T16:29:17.000Z"
"38716","4","30","287","0","2023-03-27T16:20:06.000Z"
"41698","1","20","205","0","2023-03-26T19:13:10.000Z"
"64246","0","33","278","2","2023-03-26T13:01:22.000Z"
"52594","4","24","337","1","2023-03-25T13:00:18.000Z"
"32953","1","16","165","0","2023-03-24T21:43:05.000Z"
"43029","1","41","304","3","2023-03-24T16:15:50.000Z"
"32642","1","14","113","0","2023-03-23T20:15:45.000Z"
"45993","8","50","327","1","2023-03-23T15:51:08.000Z"
"34078","1","27","199","0","2023-03-22T19:00:25.000Z"
"37127","3","42","246","2","2023-03-22T15:11:37.000Z"
"75599","5","17","179","1","2023-03-21T16:02:27.000Z"
"39949","5","39","387","0","2023-03-21T13:30:13.000Z"
"36020","4","23","235","0","2023-03-20T20:08:08.000Z"
"33297","1","21","175","1","2023-03-20T18:31:45.000Z"
"35271","1","22","240","0","2023-03-19T20:00:13.000Z"
"48478","1","16","137","2","2023-03-19T15:50:07.000Z"
"34172","4","17","217","0","2023-03-18T17:30:08.000Z"
"35346","2","33","239","0","2023-03-18T13:01:08.000Z"
"30077","4","31","274","1","2023-03-17T16:00:43.000Z"
"39773","11","29","293","0","2023-03-16T20:07:08.000Z"
"31077","2","15","117","0","2023-03-16T17:06:55.000Z"
"30210","2","18","189","0","2023-03-15T23:10:06.000Z"
"26417","2","23","144","2","2023-03-15T17:10:07.000Z"
"41855","7","41","354","4","2023-03-15T13:01:23.000Z"
"43930","2","15","169","0","2023-03-14T22:00:13.000Z"
"27926","0","2","22","0","2023-03-14T20:29:00.000Z"
"29493","4","22","127","0","2023-03-14T16:25:47.000Z"
"37007","4","29","317","0","2023-03-13T19:25:08.000Z"
