"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"7737016","1638","18077","61994","11449","2023-04-13T14:26:09.000Z"
"84120","38","63","440","7","2023-04-28T19:11:31.000Z"
"159870","39","102","1037","23","2023-04-28T18:00:06.000Z"
"144291","21","72","861","2","2023-04-28T16:11:34.000Z"
"397712","138","637","6692","220","2023-04-28T16:11:33.000Z"
"439662","131","682","4680","161","2023-04-28T14:05:34.000Z"
"189152","30","186","1266","7","2023-04-28T13:00:06.000Z"
"264758","64","273","2105","46","2023-04-28T13:00:03.000Z"
"200785","8","25","284","0","2023-04-27T22:00:03.000Z"
"383518","33","71","597","12","2023-04-27T22:00:03.000Z"
"195062","17","77","868","6","2023-04-27T16:30:01.000Z"
"781175","132","959","5402","322","2023-04-27T16:30:01.000Z"
"300784","64","171","1120","8","2023-04-27T16:00:24.000Z"
"248940","23","78","735","1","2023-04-27T01:00:02.000Z"
"746496","141","1158","9215","138","2023-04-27T01:00:02.000Z"
"682802","155","1485","10365","145","2023-04-26T22:30:45.000Z"
"319221","23","143","1308","15","2023-04-26T14:00:16.000Z"
"296340","16","143","1305","10","2023-04-26T13:02:05.000Z"
"799123","123","1017","8107","121","2023-04-26T18:00:19.000Z"
"1451320","488","2129","12010","847","2023-04-26T14:00:11.000Z"
"1028504","106","1020","5098","114","2023-04-26T01:19:51.000Z"
"3546865","643","5599","16754","3651","2023-04-19T01:10:19.000Z"
"285209","24","76","1107","16","2023-04-24T18:00:21.000Z"
"792204","164","527","4490","135","2023-04-25T18:15:02.000Z"
"484980","64","481","3824","49","2023-04-25T18:00:01.000Z"
"295268","17","84","657","4","2023-04-25T17:00:03.000Z"
"281561","25","60","551","1","2023-04-25T16:00:52.000Z"
"353967","25","104","917","16","2023-04-25T15:00:24.000Z"
"283055","9","68","558","2","2023-04-25T01:16:25.000Z"
"544262","54","230","2016","28","2023-04-25T01:16:25.000Z"
"1039696","167","1025","7731","147","2023-04-24T22:06:14.000Z"
"1443340","335","1443","11727","304","2023-04-24T19:15:01.000Z"
"1074743","218","1291","10071","197","2023-04-24T19:00:02.000Z"
"386905","28","216","1564","22","2023-04-24T17:00:37.000Z"
"2372507","120","4571","14834","890","2023-04-24T16:30:57.000Z"
"433898","44","162","1235","26","2023-04-24T15:01:32.000Z"
"558003","27","184","1655","23","2023-04-21T00:01:37.000Z"
"796987","135","983","7603","117","2023-04-21T18:40:01.000Z"
"604242","81","541","4291","65","2023-04-21T18:30:01.000Z"
"469356","98","327","2628","46","2023-04-21T18:00:13.000Z"
"288299","21","88","666","9","2023-04-21T16:02:08.000Z"
"1016239","105","637","2985","177","2023-04-21T16:02:07.000Z"
"1008331","264","2273","8581","749","2023-04-19T14:13:00.000Z"
"712268","139","736","5756","141","2023-04-20T20:20:02.000Z"
"725441","100","632","4996","102","2023-04-20T20:15:02.000Z"
"541644","217","308","2510","84","2023-04-20T14:00:04.000Z"
"461176","60","624","4157","29","2023-04-20T19:00:26.000Z"
"202841","7","44","377","0","2023-04-20T17:02:48.000Z"
"215429","4","31","322","0","2023-04-20T17:02:47.000Z"
"453326","39","157","1198","47","2023-04-20T17:02:47.000Z"
"283347","43","164","1239","13","2023-04-20T15:31:39.000Z"
"384750","67","245","2192","32","2023-04-19T06:00:00.000Z"
"415052","49","159","1292","20","2023-04-19T21:00:01.000Z"
"571028","138","1289","5847","191","2023-04-19T20:00:56.000Z"
"678666","57","279","1707","16","2023-04-19T09:01:05.000Z"
"280024","20","104","707","28","2023-04-19T18:31:47.000Z"
"300994","26","153","934","33","2023-04-19T18:15:29.000Z"
"576452","53","689","3005","153","2023-04-19T18:00:49.000Z"
"261698","19","135","891","5","2023-04-19T17:50:59.000Z"
"328019","16","163","940","27","2023-04-19T17:45:57.000Z"
"322871","24","150","909","16","2023-04-19T17:31:14.000Z"
"5106879","572","1832","12282","1667","2023-04-19T17:15:30.000Z"
"258477","24","142","752","26","2023-04-19T16:45:34.000Z"
"385409","42","435","2387","61","2023-04-19T16:35:36.000Z"
"410898","43","358","1733","119","2023-04-19T16:25:11.000Z"
"571727","98","923","3795","406","2023-04-19T16:21:29.000Z"
"1871946","114","441","4771","190","2023-04-19T16:18:43.000Z"
"283953","22","232","1072","57","2023-04-19T16:10:53.000Z"
"322729","27","218","1025","72","2023-04-19T16:08:24.000Z"
"366061","43","371","1667","135","2023-04-19T16:05:53.000Z"
"568259","81","311","2345","96","2023-04-19T15:30:01.000Z"
"1025596","284","2388","11230","688","2023-04-19T01:37:18.000Z"
"410432","36","217","2660","84","2023-04-19T01:27:23.000Z"
"1332952","336","3117","15525","772","2023-04-19T01:27:23.000Z"
"1093415","226","725","3979","639","2023-04-19T01:02:08.000Z"
"388502","27","97","1006","11","2023-04-18T19:01:00.000Z"
"893779","145","1237","13485","204","2023-04-18T18:30:19.000Z"
"488607","75","154","1241","58","2023-04-18T18:01:17.000Z"
"453534","49","141","1419","27","2023-04-18T16:01:24.000Z"
"7993604","1160","2779","15374","3244","2023-04-18T13:00:02.000Z"
"430360","66","414","2146","91","2023-04-18T01:01:02.000Z"
"434013","55","320","1771","51","2023-04-17T23:31:25.000Z"
"1839451","272","2092","18788","812","2023-04-17T18:00:01.000Z"
"257830","9","44","543","2","2023-04-17T16:15:03.000Z"
"278189","6","52","587","5","2023-04-17T16:15:03.000Z"
"907385","139","619","4283","164","2023-04-17T16:15:02.000Z"
"961916","173","917","7946","219","2023-04-17T14:13:02.000Z"
"1989797","369","2173","20215","316","2023-04-15T19:52:22.000Z"
"756071","50","271","2780","20","2023-04-14T01:08:35.000Z"
"601538","120","418","2769","111","2023-04-14T07:25:50.000Z"
"1214411","173","1522","14641","185","2023-04-14T19:01:01.000Z"
"1108849","258","1554","17299","341","2023-04-14T18:30:02.000Z"
"580398","76","521","3058","93","2023-04-14T18:01:08.000Z"
"510334","124","380","2544","90","2023-04-14T17:00:02.000Z"
"271106","16","76","822","4","2023-04-14T14:50:43.000Z"
"630746","54","556","4060","176","2023-04-14T14:23:49.000Z"
"486309","52","793","5171","239","2023-04-14T14:03:30.000Z"
"2111015","442","4678","22728","1664","2023-04-14T14:00:57.000Z"
"4548548","1294","11029","63250","4252","2023-04-13T14:45:14.000Z"
"1348341","123","821","7276","224","2023-04-13T13:30:03.000Z"
