"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"1040329","394","879","8143","109","2023-04-27T13:14:44.000Z"
"347093","141","281","2964","29","2023-04-24T19:57:39.000Z"
"597992","170","549","4783","37","2023-04-24T19:49:37.000Z"
"1465230","389","1165","7171","107","2023-04-24T19:48:21.000Z"
"1401294","522","944","8883","74","2023-04-24T00:45:35.000Z"
"7208859","2652","4561","35979","356","2023-04-22T15:08:07.000Z"
"1347235","481","904","10246","117","2023-04-20T22:28:08.000Z"
"941457","223","356","3832","23","2023-04-20T16:41:29.000Z"
"1093810","310","747","5716","67","2023-04-19T21:48:30.000Z"
"5962846","1337","2635","15189","129","2023-04-18T15:59:43.000Z"
"734426","188","598","4920","60","2023-04-18T13:46:13.000Z"
"1357704","247","440","4011","23","2023-04-16T00:17:59.000Z"
"1475122","350","810","6851","104","2023-04-14T19:42:11.000Z"
"5624729","1577","2501","18020","313","2023-04-12T21:41:44.000Z"
"7382679","1793","3160","28337","359","2023-04-12T19:32:53.000Z"
"6927252","1118","2417","21942","193","2023-04-09T21:02:55.000Z"
"22516918","723","1397","11781","269","2023-04-09T17:25:30.000Z"
"1419871","376","674","5232","72","2023-04-06T21:35:21.000Z"
"935549","282","1096","8002","91","2023-04-06T06:25:45.000Z"
"8294746","1619","4330","26272","586","2023-04-06T00:04:54.000Z"
"638215","213","195","1963","9","2023-04-04T00:38:48.000Z"
"1410524","297","600","5444","74","2023-04-04T00:38:48.000Z"
"1346217","308","641","5325","32","2023-04-03T20:25:00.000Z"
"1421473","197","595","6485","42","2023-04-03T13:17:36.000Z"
"1398481","411","1279","12418","136","2023-04-02T20:10:27.000Z"
"6723206","1276","2838","23706","217","2023-04-02T19:39:05.000Z"
"76586262","5712","6041","58308","3773","2023-04-01T13:48:39.000Z"
"1264784","252","1149","8142","116","2023-03-31T08:27:33.000Z"
"590861","95","182","2201","10","2023-03-30T18:57:31.000Z"
"8842584","1203","2049","17036","324","2023-03-30T18:57:30.000Z"
"1658938","330","579","5701","40","2023-03-28T18:49:49.000Z"
"763689","118","412","5373","19","2023-03-25T19:37:10.000Z"
"39866342","1052","3357","27570","552","2023-03-25T19:37:07.000Z"
"1965993","575","917","10954","83","2023-03-24T23:22:33.000Z"
"1910675","345","683","6513","37","2023-03-24T18:44:51.000Z"
"959502","268","580","7281","36","2023-03-22T18:59:59.000Z"
"1035965","241","597","5125","49","2023-03-22T10:28:29.000Z"
"20661245","8117","9611","88243","843","2023-03-22T03:24:26.000Z"
"4485664","583","3990","28065","195","2023-03-20T17:51:02.000Z"
"5402598","1109","2437","22609","195","2023-03-18T10:35:44.000Z"
"2389934","623","1880","15464","179","2023-03-17T18:26:42.000Z"
"7511000","2651","4475","60376","461","2023-03-16T19:15:52.000Z"
"591152","153","503","6297","36","2023-03-15T19:22:42.000Z"
"598336","84","382","4961","11","2023-03-15T19:22:40.000Z"
"1273449","274","1195","11454","87","2023-03-15T19:22:38.000Z"
"523174","79","256","3235","17","2023-03-14T21:47:27.000Z"
"1346079","295","890","9418","67","2023-03-14T21:47:16.000Z"
"2366975","669","1795","17665","260","2023-03-14T15:14:03.000Z"
"10256461","1513","2069","19421","143","2023-03-13T17:54:20.000Z"
"400692","70","137","1711","3","2023-03-13T15:27:55.000Z"
"919204","204","528","4618","23","2023-03-13T15:27:55.000Z"
"690958","130","420","5341","75","2023-03-12T19:13:17.000Z"
"735216","42","337","4309","11","2023-03-12T19:13:16.000Z"
"1889031","258","900","8436","57","2023-03-12T19:13:16.000Z"
"994017","243","388","5704","43","2023-03-09T19:06:37.000Z"
"1968358","928","1763","19938","343","2023-03-09T19:06:35.000Z"
"433754","66","171","2794","4","2023-03-08T23:43:44.000Z"
"525047","70","185","3620","6","2023-03-08T23:43:43.000Z"
"3809068","792","2257","29729","202","2023-03-08T23:43:42.000Z"
"9947641","2128","11694","77332","1603","2023-03-02T00:22:03.000Z"
"750619","362","1108","5188","68","2023-03-02T00:18:20.000Z"
"582360","111","372","3325","15","2023-03-01T23:43:30.000Z"
"667858","68","432","3802","35","2023-03-01T23:36:49.000Z"
"6722409","2250","4741","50289","390","2023-03-01T23:32:58.000Z"
"394291","63","350","3099","25","2023-03-01T23:22:10.000Z"
"328734","48","195","2405","9","2023-03-01T22:57:27.000Z"
"351957","40","290","3181","21","2023-03-01T22:55:27.000Z"
"283787","42","270","2689","10","2023-03-01T22:53:56.000Z"
"290745","32","246","2201","44","2023-03-01T22:45:57.000Z"
"266591","28","170","1844","6","2023-03-01T22:41:17.000Z"
"423071","51","308","3325","27","2023-03-01T22:18:10.000Z"
"406579","30","197","2435","6","2023-03-01T22:10:20.000Z"
"725364","44","275","3006","20","2023-03-01T22:05:58.000Z"
"746071","52","309","3159","20","2023-03-01T21:56:16.000Z"
"759467","128","367","3636","74","2023-03-01T21:38:27.000Z"
"703892","61","364","3868","19","2023-03-01T21:33:38.000Z"
"8816945","1218","3785","27161","373","2023-03-01T21:32:08.000Z"
"34320085","759","5077","9601","352","2023-03-01T21:17:15.000Z"
"40885903","1305","2969","21291","258","2023-02-28T19:15:35.000Z"
"4264921","590","1560","18440","248","2023-02-27T04:25:20.000Z"
"6116112","1503","3562","39346","179","2023-02-24T23:18:54.000Z"
"1271028","390","778","8078","132","2023-02-23T23:51:32.000Z"
"5342828","1473","2154","22840","211","2023-02-23T03:21:24.000Z"
"760872","65","308","3848","4","2023-02-23T03:21:23.000Z"
"305460","64","254","3563","9","2023-02-23T03:19:48.000Z"
"6306735","545","1870","20968","108","2023-02-23T03:19:45.000Z"
"1277538","305","1249","5444","84","2023-02-23T03:02:47.000Z"
"6479268","517","1340","14177","63","2023-02-23T02:21:00.000Z"
"1685976","208","454","3543","29","2023-02-22T20:54:45.000Z"
"5734880","2441","3449","17853","429","2023-02-22T19:30:32.000Z"
"1662745","286","597","5069","154","2023-02-22T18:46:14.000Z"
"498163","64","183","2528","8","2023-02-21T17:29:54.000Z"
"1347097","202","807","5603","46","2023-02-21T17:28:39.000Z"
"943285","123","337","3132","14","2023-02-20T14:22:05.000Z"
"2878100","794","1825","12632","273","2023-02-17T01:14:20.000Z"
"3995157","596","1142","9325","302","2023-02-15T10:07:23.000Z"
"59005477","827","2622","17067","482","2023-02-14T21:36:34.000Z"
"9627878","1190","2387","26134","168","2023-02-14T07:56:55.000Z"
"613290","117","420","4693","32","2023-02-13T19:55:54.000Z"
"1162539","117","491","5339","36","2023-02-13T19:54:46.000Z"
"435373","60","324","4029","34","2023-02-13T19:47:20.000Z"
"378363","61","296","3908","20","2023-02-13T19:44:28.000Z"
"398075","104","405","4899","46","2023-02-13T19:43:29.000Z"
"9709321","916","1980","22467","129","2023-02-13T19:43:29.000Z"
"678633","168","346","3499","17","2023-02-11T16:07:21.000Z"
"11215890","1371","3637","34063","239","2023-02-11T16:07:20.000Z"
"1550192","614","1429","13212","150","2023-02-10T23:15:20.000Z"
"2099146","292","505","6606","41","2023-02-10T17:16:29.000Z"
"2498540","431","1280","13124","88","2023-02-08T20:23:42.000Z"
,"0","19368","0","0","2023-02-08T09:05:20.000Z"
"818702","133","529","4104","26","2023-02-07T17:38:51.000Z"
"9401797","1865","5115","45564","370","2023-02-03T21:50:55.000Z"
"486730","489","633","4142","40","2023-02-01T20:35:24.000Z"
"3348344","1348","2709","35495","244","2023-02-01T14:32:57.000Z"
"6506147","2229","4283","40092","373","2023-01-31T23:25:52.000Z"
"19749460","12294","11554","228543","1344","2023-01-31T19:04:49.000Z"
