"view_count","reply_count","retweet_count","favorite_count","quote_count","created_at"
"1976498","841","1219","15106","66","2023-04-28T15:33:38.000Z"
"3510575","987","2428","22423","216","2023-04-28T13:53:10.000Z"
"6278986","2238","3966","36247","310","2023-04-27T13:50:48.000Z"
"5261193","1089","3018","30844","222","2023-04-27T13:41:42.000Z"
"36005983","14409","14722","117625","1644","2023-04-27T15:01:59.000Z"
"3023375","2461","1146","19492","154","2023-04-27T06:53:56.000Z"
"1377241","501","554","4877","25","2023-04-27T06:49:06.000Z"
"12642930","2892","5531","68779","337","2023-04-27T06:48:38.000Z"
"16689541","8879","12706","136709","964","2023-04-27T05:08:44.000Z"
"11862759","9063","10809","98506","1101","2023-04-27T04:29:39.000Z"
"5267555","1965","2646","16930","217","2023-04-25T19:57:31.000Z"
"53682048","37801","20077","303588","8379","2023-04-25T05:20:46.000Z"
"15246239","10041","11061","111834","1036","2023-04-25T05:13:22.000Z"
"13232852","13002","9830","107649","1405","2023-04-25T03:30:39.000Z"
"23725231","10703","35201","375736","2324","2023-04-25T01:36:55.000Z"
"18840169","11449","18302","179294","1583","2023-04-25T00:23:59.000Z"
"15274155","6622","6840","69662","515","2023-04-24T23:07:23.000Z"
"9566261","3198","1598","11506","220","2023-04-24T20:09:26.000Z"
"12481072","6110","6867","61255","626","2023-04-24T21:34:45.000Z"
"15622768","11149","9309","161139","1085","2023-04-24T21:31:00.000Z"
"26238677","6562","7173","82277","1579","2023-04-24T21:09:39.000Z"
"28327627","29846","31232","300079","4013","2023-04-24T21:07:13.000Z"
"9994927","3865","8167","74557","387","2023-04-23T15:50:06.000Z"
"9584271","1874","3325","30039","190","2023-04-23T02:48:22.000Z"
"23746897","11696","19596","312755","1181","2023-04-23T03:30:43.000Z"
"19927286","9739","7792","95192","981","2023-04-22T23:35:01.000Z"
"41705666","23904","58658","649824","5054","2023-04-22T21:48:37.000Z"
"12994725","5312","8902","107522","550","2023-04-22T21:12:41.000Z"
"58124180","25535","24870","330673","4107","2023-04-22T19:18:47.000Z"
"7209423","2652","4566","35990","356","2023-04-22T15:08:07.000Z"
"31836538","17249","32088","334381","2510","2023-04-22T01:02:10.000Z"
"7928579","1690","2863","14870","346","2023-04-21T20:16:43.000Z"
"5557916","620","1249","9596","50","2023-04-21T17:59:55.000Z"
"14885268","8040","5417","62098","901","2023-04-21T03:49:33.000Z"
"41842881","24298","23668","347782","4320","2023-04-21T03:36:45.000Z"
"38920848","14659","27003","525685","1969","2023-04-20T21:50:10.000Z"
"33824502","13406","30525","498365","1794","2023-04-20T21:49:51.000Z"
"5292826","503","1763","13928","76","2023-04-20T18:17:33.000Z"
"15763916","4442","15893","146864","1233","2023-04-20T16:37:02.000Z"
"13751985","2704","13348","114494","1356","2023-04-20T17:05:58.000Z"
"92822402","40958","77212","853932","9505","2023-04-20T14:09:14.000Z"
"42026369","21527","45276","506419","4407","2023-04-20T14:00:05.000Z"
"30897000","4417","30416","163876","5526","2023-04-20T13:33:54.000Z"
"32629210","11518","18215","304806","1474","2023-04-20T13:24:20.000Z"
"22930274","5442","9162","90886","809","2023-04-20T13:17:49.000Z"
"23578762","10489","13289","164373","1703","2023-04-20T12:50:51.000Z"
"7870660","1111","4804","42098","489","2023-04-20T11:30:56.000Z"
"9921831","1786","7344","75262","458","2023-04-20T03:41:42.000Z"
"32277747","9011","16474","166657","1360","2023-04-20T04:13:52.000Z"
"7136043","2115","5445","46711","407","2023-04-19T14:40:39.000Z"
"11044249","1860","7171","69115","453","2023-04-19T14:32:02.000Z"
"5636710","981","3691","21959","196","2023-04-19T14:24:58.000Z"
"7975972","1668","3468","28892","253","2023-04-18T23:40:37.000Z"
"5963067","1337","2640","15203","129","2023-04-18T15:59:43.000Z"
"44977766","19230","14542","216605","1882","2023-04-18T02:44:41.000Z"
"68956713","41827","74984","634421","15158","2023-04-18T01:26:28.000Z"
"16762582","7399","8898","89909","1039","2023-04-17T23:59:15.000Z"
"16016867","4092","12057","96616","2032","2023-04-17T22:35:07.000Z"
"5160054","1831","2183","17960","247","2023-04-17T16:14:10.000Z"
"4501406","778","1684","14064","96","2023-04-17T16:13:37.000Z"
"5945435","592","1352","10166","233","2023-04-17T16:13:25.000Z"
"7124439","1266","2223","12802","653","2023-04-17T16:13:01.000Z"
"12967591","5853","6484","103699","845","2023-04-17T13:29:01.000Z"
"16942940","5935","8016","94059","1923","2023-04-17T13:11:17.000Z"
"36869221","10019","15566","189197","1185","2023-04-17T12:18:42.000Z"
"5659077","1225","2917","28527","173","2023-04-17T11:43:35.000Z"
"13489761","1671","8324","53925","1266","2023-04-17T11:40:16.000Z"
"40605822","14324","18185","244014","1697","2023-04-17T05:46:06.000Z"
"11079562","2226","9436","61914","1305","2023-04-17T01:03:29.000Z"
"7464996","1243","6150","38004","672","2023-04-16T17:37:13.000Z"
"74304952","27194","54775","799989","4852","2023-04-16T15:52:21.000Z"
"8495187","1307","5750","44799","548","2023-04-16T14:02:16.000Z"
"8599906","1770","6898","53441","581","2023-04-15T22:30:30.000Z"
"15849863","2653","5398","68688","211","2023-04-15T21:20:53.000Z"
"47780826","11797","51779","454539","2269","2023-04-15T21:05:26.000Z"
"4349242","346","1031","12292","28","2023-04-15T20:55:58.000Z"
"18205330","5142","9886","116642","390","2023-04-15T20:42:55.000Z"
"15819199","5762","6877","86242","603","2023-04-15T20:42:04.000Z"
"21836565","5263","11647","127441","946","2023-04-15T20:40:01.000Z"
"3997807","351","1029","10751","38","2023-04-15T20:09:36.000Z"
"47582015","13001","37189","554689","2220","2023-04-15T18:24:46.000Z"
"8076376","3575","13408","125619","549","2023-04-15T17:59:40.000Z"
"52559195","18167","59137","434742","3142","2023-04-15T17:55:08.000Z"
"10987504","6220","4070","39525","1841","2023-04-15T17:01:28.000Z"
"5475609","481","2701","14052","80","2023-04-15T14:45:39.000Z"
"8455433","1270","1630","32012","112","2023-04-15T16:49:38.000Z"
"5301887","2375","2113","41024","270","2023-04-15T16:14:02.000Z"
"31877905","10072","13660","187695","1497","2023-04-15T16:12:29.000Z"
"4912090","630","2771","27454","123","2023-04-15T09:41:21.000Z"
"5211127","697","2465","22982","124","2023-04-15T06:51:26.000Z"
"4773772","659","2983","24302","286","2023-04-15T06:49:00.000Z"
"7382798","1793","3161","28361","359","2023-04-12T19:32:53.000Z"
"5624829","1577","2502","18030","313","2023-04-12T21:41:44.000Z"
"3409418","268","879","7694","45","2023-04-15T05:27:26.000Z"
"35151142","9726","19224","261835","1263","2023-04-15T00:06:27.000Z"
"4213282","461","1200","8052","92","2023-04-14T20:14:09.000Z"
"30481927","8371","15934","168044","896","2023-04-14T23:46:49.000Z"
"3201669","334","690","6533","48","2023-04-14T23:37:11.000Z"
"3325770","251","764","7231","65","2023-04-14T23:37:10.000Z"
"4420535","912","2361","20469","96","2023-04-14T15:33:59.000Z"
"58641042","16955","45157","572633","4846","2023-04-14T11:15:55.000Z"
"6331237","2149","2293","37459","121","2023-04-14T08:04:20.000Z"
"32544565","18164","11747","165162","1961","2023-04-14T08:02:43.000Z"
"4801115","867","2533","16349","140","2023-04-14T06:35:56.000Z"
"11891254","2945","2486","15066","4240","2023-04-14T00:41:19.000Z"
"16532064","4414","10718","100458","1113","2023-04-13T17:20:39.000Z"
"29272643","7233","12190","111912","2060","2023-04-13T17:07:44.000Z"
"17779812","9913","9288","107883","1255","2023-04-13T16:25:30.000Z"
"3790765","1186","3459","17911","155","2023-04-13T03:50:43.000Z"
"11939192","5907","11084","81212","752","2023-04-13T00:06:22.000Z"
"9191399","1526","3564","22520","536","2023-04-12T21:15:31.000Z"
"5860292","3441","7465","90214","264","2023-04-12T19:08:02.000Z"
"16520700","5667","12019","120035","451","2023-04-12T19:07:08.000Z"
"21705715","9420","28292","174601","1512","2023-04-12T19:05:30.000Z"
"13485131","14787","28928","239952","2807","2023-04-12T18:54:34.000Z"
