week,instaLkeCountSum,instaCommentCountSum,instaLikeCountAvg,instaCommentCountAvg,highChange (above 6% change),aboveAvgVol
2021-10-11/2021-10-17,85645,164,85645.0,164.0,1,0
2021-10-18/2021-10-24,580874,1610,44682.61538461538,123.84615384615384,0,0
2021-10-25/2021-10-31,653842,5009,46703.0,357.7857142857143,1,1
2021-11-01/2021-11-07,391127,974,39112.7,97.4,0,0
2021-11-08/2021-11-14,559553,1715,43042.53846153846,131.92307692307693,1,0
2021-11-15/2021-11-21,1072373,2258,82490.23076923077,173.69230769230768,1,0
2021-11-22/2021-11-28,447066,1611,37255.5,134.25,1,0
2021-11-29/2021-12-05,545971,2604,38997.92857142857,186.0,1,0
2021-12-06/2021-12-12,737758,1981,61479.833333333336,165.08333333333334,0,0
2021-12-13/2021-12-19,637985,2795,53165.416666666664,232.91666666666666,0,0
2021-12-20/2021-12-26,449241,999,34557.0,76.84615384615384,1,0
2021-12-27/2022-01-02,816835,2610,68069.58333333333,217.5,0,0
2022-01-03/2022-01-09,634959,1717,52913.25,143.08333333333334,1,0
2022-01-10/2022-01-16,556089,1507,42776.07692307692,115.92307692307692,0,0
2022-01-17/2022-01-23,413951,1063,34495.916666666664,88.58333333333333,1,0
2022-01-24/2022-01-30,724357,2952,51739.78571428572,210.85714285714286,1,0
2022-01-31/2022-02-06,649048,1949,49926.769230769234,149.92307692307693,0,0
2022-02-07/2022-02-13,457557,1451,38129.75,120.91666666666667,0,0
2022-02-14/2022-02-20,528068,1355,44005.666666666664,112.91666666666667,0,0
2022-02-21/2022-02-27,227417,638,28427.125,79.75,0,0
2022-02-28/2022-03-06,333383,846,22225.533333333333,56.4,0,0
2022-03-07/2022-03-13,1892252,5578,157687.66666666666,464.8333333333333,0,0
2022-03-14/2022-03-20,396797,1052,33066.416666666664,87.66666666666667,1,0
2022-03-21/2022-03-27,450003,1413,37500.25,117.75,1,0
2022-03-28/2022-04-03,290262,1127,26387.454545454544,102.45454545454545,0,0
2022-04-04/2022-04-10,491747,2793,35124.78571428572,199.5,1,0
2022-04-11/2022-04-17,419566,1943,27971.066666666666,129.53333333333333,0,0
2022-04-18/2022-04-24,386251,1408,29711.615384615383,108.3076923076923,0,0
2022-04-25/2022-05-01,352326,1591,29360.5,132.58333333333334,1,0
2022-05-02/2022-05-08,347286,1096,26714.30769230769,84.3076923076923,0,0
2022-05-09/2022-05-15,317127,1045,26427.25,87.08333333333333,0,0
2022-05-16/2022-05-22,266461,862,22205.083333333332,71.83333333333333,1,0
2022-05-23/2022-05-29,233910,1028,23391.0,102.8,1,0
2022-05-30/2022-06-05,272869,1060,19490.64285714286,75.71428571428571,1,0
2022-06-06/2022-06-12,358102,1676,29841.833333333332,139.66666666666666,0,0
2022-06-13/2022-06-19,275087,1114,19649.071428571428,79.57142857142857,0,0
2022-06-20/2022-06-26,379711,1272,31642.583333333332,106.0,0,0
2022-06-27/2022-07-03,270236,853,22519.666666666668,71.08333333333333,1,0
2022-07-04/2022-07-10,280207,935,23350.583333333332,77.91666666666667,1,0
2022-07-11/2022-07-17,532091,1977,40930.07692307692,152.07692307692307,0,0
2022-07-18/2022-07-24,288090,1025,22160.76923076923,78.84615384615384,1,0
